#Data:X Data:Y Source:X Source:Y
340 0 85 106
341 0 87.89167 106
342 0 90.78333 106
343 0 93.675 106
344 0 96.56667 106
345 0 99.45834 106
346 0 102.35 106
347 2.946274E-02 105.2417 114.5
348 5.025997E-02 108.1333 120.5
349 0.0745234 111.025 127.5
350 9.185442E-02 113.9167 132.5
351 0.1299827 116.8083 143.5
352 0.1577123 119.7 151.5
353 0.1975737 122.5917 163
354 0.254766 125.4833 179.5
355 0.2859619 128.375 188.5
356 0.3310225 131.2667 201.5
357 0.372617 134.1583 213.5
358 0.4038128 137.05 222.5
359 0.4384749 139.9417 232.5
360 0.4662045 142.8333 240.5
361 0.5112652 145.725 253.5
362 0.5563259 148.6167 266.5
363 0.5944541 151.5083 277.5
364 0.6429809 154.4 291.5
365 0.6811092 157.2917 302.5
366 0.7088388 160.1833 310.5
367 0.7642981 163.075 326.5
368 0.7868284 165.9667 333
369 0.8197573 168.8583 342.5
370 0.864818 171.75 355.5
371 0.9098787 174.6417 368.5
372 0.9376083 177.5333 376.5
373 0.9584056 180.425 382.5
374 0.982669 183.3167 389.5
375 0.9896014 186.2083 391.5
376 0.9965338 189.1 393.5
377 0.9930676 191.9917 392.5
378 0.982669 194.8833 389.5
379 0.9722704 197.775 386.5
380 0.9480069 200.6667 379.5
381 0.9341421 203.5583 375.5
382 0.9133449 206.45 369.5
383 0.8960139 209.3417 364.5
384 0.8752167 212.2333 358.5
385 0.8613518 215.125 354.5
386 0.8405546 218.0167 348.5
387 0.8370884 220.9083 347.5
388 0.8162912 223.8 341.5
389 0.8058925 226.6917 338.5
390 0.7816291 229.5833 331.5
391 0.7677643 232.475 327.5
392 0.7504333 235.3667 322.5
393 0.7365685 238.2583 318.5
394 0.7227036 241.15 314.5
395 0.7088388 244.0417 310.5
396 0.6984402 246.9333 307.5
397 0.6811092 249.825 302.5
398 0.6637782 252.7167 297.5
399 0.6533796 255.6083 294.5
400 0.6360486 258.5 289.5
401 0.6221837 261.3917 285.5
402 0.6048527 264.2833 280.5
403 0.5944541 267.175 277.5
404 0.5805892 270.0667 273.5
405 0.5701907 272.9583 270.5
406 0.5563259 275.85 266.5
407 0.5389948 278.7417 261.5
408 0.5285962 281.6333 258.5
409 0.507799 284.525 252.5
410 0.5008665 287.4167 250.5
411 0.4835355 290.3083 245.5
412 0.4662045 293.2 240.5
413 0.4558059 296.0917 237.5
414 0.4488735 298.9833 235.5
415 0.4280763 301.875 229.5
416 0.4142115 304.7667 225.5
417 0.4038128 307.6583 222.5
418 0.3934142 310.55 219.5
419 0.3795494 313.4417 215.5
420 0.3656846 316.3333 211.5
421 0.355286 319.225 208.5
422 0.3414212 322.1167 204.5
423 0.3275563 325.0083 200.5
424 0.3171577 327.9 197.5
425 0.3067591 330.7917 194.5
426 0.2928943 333.6833 190.5
427 0.2824957 336.575 187.5
428 0.2686309 339.4667 183.5
429 0.2582322 342.3583 180.5
430 0.2478336 345.25 177.5
431 0.2339688 348.1417 173.5
432 0.2235702 351.0333 170.5
433 0.2166378 353.925 168.5
434 0.2079723 356.8167 166
435 0.1923743 359.7083 161.5
436 0.1819757 362.6 158.5
437 0.1785095 365.4917 157.5
438 0.1646447 368.3833 153.5
439 0.1542461 371.275 150.5
440 0.1438475 374.1667 147.5
441 0.1369151 377.0583 145.5
442 0.1299827 379.95 143.5
443 0.1195841 382.8417 140.5
444 0.1126516 385.7333 138.5
445 0.1057192 388.625 136.5
446 9.878683E-02 391.5167 134.5
447 9.185442E-02 394.4083 132.5
448 0.0814558 397.3 129.5
449 0.0745234 400.1917 127.5
450 6.759099E-02 403.0833 125.5
451 6.412479E-02 405.975 124.5
452 5.719237E-02 408.8667 122.5
453 4.679376E-02 411.7583 119.5
454 3.986135E-02 414.65 117.5
455 3.292894E-02 417.5417 115.5
456 2.946274E-02 420.4333 114.5
457 2.253033E-02 423.325 112.5
458 2.253033E-02 426.2167 112.5
