##Data:X Data:Y Source:X Source:Y
492 38.96509 255.4125 395.5
493 38.96509 255.9156 395.5
494 38.96509 256.4188 395.5
495 38.96509 256.9219 395.5
496 38.8404 257.425 394.5
497 38.8404 257.9281 394.5
498 38.71571 258.4312 393.5
499 38.71571 258.9344 393.5
500 38.59102 259.4375 392.5
501 38.59102 259.9406 392.5
502 38.46634 260.4438 391.5
503 38.46634 260.9469 391.5
504 38.21696 261.45 389.5
505 38.21696 261.9531 389.5
506 37.96758 262.4563 387.5
507 37.96758 262.9594 387.5
508 37.84289 263.4625 386.5
509 37.84289 263.9656 386.5
510 37.59352 264.4688 384.5
511 37.59352 264.9719 384.5
512 37.46883 265.475 383.5
513 37.46883 265.9781 383.5
514 37.21945 266.4813 381.5
515 37.21945 266.9844 381.5
516 37.09476 267.4875 380.5
517 37.09476 267.9906 380.5
518 36.97007 268.4937 379.5
519 36.97007 268.9969 379.5
520 36.34663 269.5 374.5
521 36.34663 270.0031 374.5
522 36.34663 270.5063 374.5
523 35.84788 271.0094 370.5
524 35.84788 271.5125 370.5
525 35.84788 272.0156 370.5
526 35.84788 272.5188 370.5
527 35.66085 273.0219 369
528 35.66085 273.525 369
529 35.47382 274.0281 367.5
530 35.47382 274.5313 367.5
531 35.22444 275.0344 365.5
532 35.22444 275.5375 365.5
533 34.97506 276.0406 363.5
534 34.97506 276.5438 363.5
535 34.601 277.0469 360.5
536 34.601 277.55 360.5
537 34.35162 278.0531 358.5
538 34.35162 278.5562 358.5
539 34.10225 279.0594 356.5
540 34.10225 279.5625 356.5
541 33.85287 280.0656 354.5
542 33.85287 280.5688 354.5
543 33.60349 281.0719 352.5
544 33.60349 281.575 352.5
545 33.35411 282.0781 350.5
546 33.35411 282.5813 350.5
547 33.10474 283.0844 348.5
548 33.10474 283.5875 348.5
549 32.85536 284.0906 346.5
550 32.85536 284.5938 346.5
551 32.35661 285.0969 342.5
552 32.35661 285.6 342.5
553 32.35661 286.1031 342.5
554 32.35661 286.6063 342.5
555 32.23192 287.1094 341.5
556 32.23192 287.6125 341.5
557 31.60848 288.1156 336.5
558 31.60848 288.6187 336.5
559 31.3591 289.1219 334.5
560 31.3591 289.625 334.5
561 31.23441 290.1281 333.5
562 31.23441 290.6313 333.5
563 30.98504 291.1344 331.5
564 30.98504 291.6375 331.5
565 30.73566 292.1406 329.5
566 30.73566 292.6438 329.5
567 30.3616 293.1469 326.5
568 30.3616 293.65 326.5
569 30.11222 294.1531 324.5
570 30.11222 294.6563 324.5
571 29.86284 295.1594 322.5
572 29.86284 295.6625 322.5
573 29.61347 296.1656 320.5
574 29.61347 296.6688 320.5
575 29.30175 297.1719 318
576 29.30175 297.675 318
577 29.11471 298.1781 316.5
578 29.11471 298.6812 316.5
579 28.99002 299.1844 315.5
580 28.99002 299.6875 315.5
581 28.74065 300.1906 313.5
582 28.74065 300.6938 313.5
583 28.11721 301.1969 308.5
584 28.11721 301.7 308.5
585 28.11721 302.2031 308.5
