#Data:X Data:Y Source:X Source:Y
350 0.1166667 66 76
351 0.15 68.57333 82
352 0.1861111 71.14667 88.5
353 0.225 73.72 95.5
354 0.275 76.29333 104.5
355 0.3138889 78.86667 111.5
356 0.3555556 81.44 119
357 0.3861111 84.01334 124.5
358 0.4138889 86.58667 129.5
359 0.4527778 89.16 136.5
360 0.4694445 91.73333 139.5
361 0.4916667 94.30666 143.5
362 0.5027778 96.88 145.5
363 0.525 99.45333 149.5
364 0.5194445 102.0267 148.5
365 0.5194445 104.6 148.5
366 0.5083333 107.1733 146.5
367 0.5138889 109.7467 147.5
368 0.5194445 112.32 148.5
369 0.5277778 114.8933 150
370 0.5527778 117.4667 154.5
371 0.5888889 120.04 161
372 0.6083333 122.6133 164.5
373 0.6527778 125.1867 172.5
374 0.6916667 127.76 179.5
375 0.7138889 130.3333 183.5
376 0.7416667 132.9067 188.5
377 0.7861111 135.48 196.5
378 0.8416666 138.0533 206.5
379 0.8694444 140.6267 211.5
380 0.9083334 143.2 218.5
381 0.9194444 145.7733 220.5
382 0.9527778 148.3467 226.5
383 0.9638889 150.92 228.5
384 0.9861111 153.4933 232.5
385 0.9972222 156.0667 234.5
386 0.9972222 158.64 234.5
387 0.9972222 161.2133 234.5
388 0.9972222 163.7867 234.5
389 0.9805555 166.36 231.5
390 0.9638889 168.9333 228.5
391 0.9361111 171.5067 223.5
392 0.9055555 174.08 218
393 0.8972222 176.6533 216.5
394 0.875 179.2267 212.5
395 0.8638889 181.8 210.5
396 0.8527778 184.3733 208.5
397 0.8472222 186.9467 207.5
398 0.8416666 189.52 206.5
399 0.8361111 192.0933 205.5
400 0.8333333 194.6667 205
401 0.8305556 197.24 204.5
402 0.8361111 199.8133 205.5
403 0.8472222 202.3867 207.5
404 0.8416666 204.96 206.5
405 0.8527778 207.5333 208.5
406 0.8416666 210.1067 206.5
407 0.8361111 212.68 205.5
408 0.8305556 215.2533 204.5
409 0.8194444 217.8267 202.5
410 0.8083333 220.4 200.5
411 0.8027778 222.9733 199.5
412 0.7805555 225.5467 195.5
413 0.7527778 228.12 190.5
414 0.7472222 230.6933 189.5
415 0.7027778 233.2667 181.5
416 0.6888889 235.84 179
417 0.6638889 238.4133 174.5
418 0.6444445 240.9867 171
419 0.6222222 243.56 167
420 0.6027778 246.1333 163.5
421 0.5861111 248.7067 160.5
422 0.5694444 251.28 157.5
423 0.5583333 253.8533 155.5
424 0.5444444 256.4267 153
425 0.5305555 259 150.5
426 0.5194445 261.5733 148.5
427 0.4916667 264.1467 143.5
428 0.4861111 266.72 142.5
429 0.475 269.2933 140.5
430 0.4583333 271.8667 137.5
431 0.4472222 274.44 135.5
432 0.4305556 277.0133 132.5
433 0.425 279.5867 131.5
434 0.4138889 282.16 129.5
435 0.4027778 284.7333 127.5
436 0.3972222 287.3067 126.5
437 0.3805556 289.88 123.5
438 0.3805556 292.4533 123.5
439 0.3694444 295.0267 121.5
440 0.3638889 297.6 120.5
441 0.35 300.1733 118
442 0.3416667 302.7467 116.5
443 0.3333333 305.32 115
444 0.3305556 307.8933 114.5
445 0.325 310.4667 113.5
446 0.3138889 313.04 111.5
447 0.3083333 315.6133 110.5
448 0.3055556 318.1866 110
449 0.2972222 320.76 108.5
450 0.2972222 323.3333 108.5
451 0.2861111 325.9066 106.5
452 0.2694444 328.48 103.5
453 0.2583333 331.0533 101.5
454 0.2583333 333.6266 101.5
455 0.2416667 336.2 98.5
456 0.2305555 338.7733 96.5
457 0.2305555 341.3466 96.5
458 0.2138889 343.92 93.5
459 0.2138889 346.4933 93.5
460 0.2 349.0667 91
461 0.1944444 351.64 90
462 0.1861111 354.2133 88.5
463 0.175 356.7867 86.5
464 0.1694444 359.36 85.5
465 0.1638889 361.9333 84.5
466 0.15 364.5067 82
467 0.1472222 367.08 81.5
468 0.1361111 369.6533 79.5
469 0.1305556 372.2267 78.5
470 0.125 374.8 77.5
471 0.1194444 377.3733 76.5
472 0.1083333 379.9467 74.5
473 0.1027778 382.52 73.5
474 9.722222E-02 385.0933 72.5
475 9.166667E-02 387.6667 71.5
476 9.166667E-02 390.24 71.5
477 8.611111E-02 392.8133 70.5
478 8.611111E-02 395.3867 70.5
479 8.055556E-02 397.96 69.5
480 0.075 400.5333 68.5
481 0.075 403.1067 68.5
482 6.944445E-02 405.68 67.5
483 6.388889E-02 408.2533 66.5
484 6.388889E-02 410.8267 66.5
485 5.833333E-02 413.4 65.5
486 5.277778E-02 415.9733 64.5
487 5.277778E-02 418.5467 64.5
488 0.05 421.12 64
489 4.722222E-02 423.6933 63.5
490 0.05 426.2667 64
491 4.166667E-02 428.84 62.5
492 4.166667E-02 431.4133 62.5
493 3.611111E-02 433.9867 61.5
494 4.166667E-02 436.56 62.5
495 3.611111E-02 439.1333 61.5
496 3.055556E-02 441.7067 60.5
497 3.611111E-02 444.28 61.5
498 3.055556E-02 446.8533 60.5
499 3.055556E-02 449.4267 60.5
