#Data:X Data:Y Source:X Source:Y
502 38.34164 260 390.5
503 38.34164 260.5 390.5
504 38.21696 261 389.5
505 38.21696 261.5 389.5
506 38.09227 262 388.5
507 38.09227 262.5 388.5
508 37.84289 263 386.5
509 37.84289 263.5 386.5
510 37.59352 264 384.5
511 37.59352 264.5 384.5
512 37.46883 265 383.5
513 37.46883 265.5 383.5
514 37.09476 266 380.5
515 37.09476 266.5 380.5
516 37.03242 267 380
517 37.03242 267.5 380
518 36.97007 268 379.5
519 36.97007 268.5 379.5
520 36.34663 269 374.5
521 36.34663 269.5 374.5
522 36.34663 270 374.5
523 36.34663 270.5 374.5
524 35.84788 271 370.5
525 35.84788 271.5 370.5
526 35.84788 272 370.5
527 35.84788 272.5 370.5
528 35.72319 273 369.5
529 35.72319 273.5 369.5
530 35.47382 274 367.5
531 35.47382 274.5 367.5
532 35.22444 275 365.5
533 35.22444 275.5 365.5
534 34.97506 276 363.5
535 34.97506 276.5 363.5
536 34.601 277 360.5
537 34.601 277.5 360.5
538 34.35162 278 358.5
539 34.35162 278.5 358.5
540 34.10225 279 356.5
541 34.10225 279.5 356.5
542 33.85287 280 354.5
543 33.85287 280.5 354.5
544 33.60349 281 352.5
545 33.60349 281.5 352.5
546 33.35411 282 350.5
547 33.35411 282.5 350.5
548 33.10474 283 348.5
549 33.10474 283.5 348.5
550 32.85536 284 346.5
551 32.85536 284.5 346.5
552 32.35661 285 342.5
553 32.35661 285.5 342.5
554 32.35661 286 342.5
555 32.35661 286.5 342.5
556 32.23192 287 341.5
557 32.23192 287.5 341.5
558 31.60848 288 336.5
559 31.60848 288.5 336.5
560 31.3591 289 334.5
561 31.3591 289.5 334.5
562 31.29676 290 334
563 31.29676 290.5 334
564 30.98504 291 331.5
565 30.98504 291.5 331.5
566 30.61097 292 328.5
567 30.61097 292.5 328.5
568 30.3616 293 326.5
569 30.3616 293.5 326.5
570 30.11222 294 324.5
571 30.11222 294.5 324.5
572 29.86284 295 322.5
573 29.86284 295.5 322.5
574 29.61347 296 320.5
575 29.61347 296.5 320.5
576 29.36409 297 318.5
577 29.36409 297.5 318.5
578 28.99002 298 315.5
579 28.99002 298.5 315.5
580 28.99002 299 315.5
581 28.99002 299.5 315.5
582 28.74065 300 313.5
583 28.74065 300.5 313.5
584 28.11721 301 308.5
585 28.11721 301.5 308.5
586 28.11721 302 308.5
587 28.11721 302.5 308.5
588 27.49376 303 303.5
589 27.49376 303.5 303.5
590 27.36908 304 302.5
591 27.36908 304.5 302.5
592 27.24439 305 301.5
593 27.24439 305.5 301.5
594 26.99501 306 299.5
595 26.99501 306.5 299.5
596 26.62095 307 296.5
597 26.62095 307.5 296.5
598 26.24688 308 293.5
599 26.24688 308.5 293.5
600 25.99751 309 291.5
601 25.99751 309.5 291.5
602 26.12219 310 292.5
603 26.12219 310.5 292.5
604 25.87282 311 290.5
605 25.87282 311.5 290.5
606 25.49875 312 287.5
607 25.49875 312.5 287.5
608 25.37407 313 286.5
609 25.37407 313.5 286.5
610 25 314 283.5
611 25 314.5 283.5
612 24.75062 315 281.5
613 24.75062 315.5 281.5
614 24.50125 316 279.5
615 24.50125 316.5 279.5
616 24.62593 317 280.5
617 24.62593 317.5 280.5
618 24.00249 318 275.5
619 24.00249 318.5 275.5
620 24.00249 319 275.5
621 24.00249 319.5 275.5
622 23.87781 320 274.5
623 23.87781 320.5 274.5
624 23.25436 321 269.5
625 23.25436 321.5 269.5
626 23.12967 322 268.5
627 23.12967 322.5 268.5
628 22.63092 323 264.5
629 22.63092 323.5 264.5
630 22.50624 324 263.5
631 22.50624 324.5 263.5
632 22.25686 325 261.5
633 22.25686 325.5 261.5
634 21.88279 326 258.5
635 21.88279 326.5 258.5
636 21.57107 327 256
637 21.57107 327.5 256
638 21.13466 328 252.5
639 21.13466 328.5 252.5
640 20.88529 329 250.5
641 20.88529 329.5 250.5
642 20.69825 330 249
643 20.69825 330.5 249
