#Data:X Data:Y Source:X Source:Y
351 2.762431E-03 63.59333 57.5
352 2.762431E-03 66.18667 57.5
353 2.762431E-03 68.78 57.5
354 2.762431E-03 71.37334 57.5
355 8.287293E-03 73.96667 58.5
356 1.381215E-02 76.56 59.5
357 1.933702E-02 79.15334 60.5
358 1.933702E-02 81.74667 60.5
359 3.038674E-02 84.34 62.5
360 0.0359116 86.93333 63.5
361 4.143646E-02 89.52666 64.5
362 5.801105E-02 92.12 67.5
363 6.906077E-02 94.71333 69.5
364 8.563536E-02 97.30666 72.5
365 9.668508E-02 99.9 74.5
366 0.121547 102.4933 79
367 0.1353591 105.0867 81.5
368 0.1629834 107.68 86.5
369 0.1961326 110.2733 92.5
370 0.2127072 112.8667 95.5
371 0.2513812 115.46 102.5
372 0.3121547 118.0533 113.5
373 0.3674033 120.6467 123.5
374 0.4171271 123.24 132.5
375 0.4944751 125.8333 146.5
376 0.5662984 128.4267 159.5
377 0.6243094 131.02 170
378 0.6878453 133.6133 181.5
379 0.7348067 136.2067 190
380 0.7845304 138.8 199
381 0.8563536 141.3933 212
382 0.8812155 143.9867 216.5
383 0.9143646 146.58 222.5
384 0.9364641 149.1733 226.5
385 0.9558011 151.7667 230
386 0.9696133 154.36 232.5
387 0.9861878 156.9533 235.5
388 0.9972376 159.5467 237.5
389 0.9972376 162.14 237.5
390 0.9972376 164.7333 237.5
391 0.9972376 167.3267 237.5
392 0.9972376 169.92 237.5
393 0.9917127 172.5133 236.5
394 0.9917127 175.1067 236.5
395 0.9861878 177.7 235.5
396 0.9640884 180.2933 231.5
397 0.9585635 182.8867 230.5
398 0.9419889 185.48 227.5
399 0.9254144 188.0733 224.5
400 0.9088398 190.6667 221.5
401 0.8812155 193.26 216.5
402 0.8701658 195.8533 214.5
403 0.8370166 198.4467 208.5
404 0.7983425 201.04 201.5
405 0.781768 203.6333 198.5
406 0.7486188 206.2267 192.5
407 0.7209945 208.82 187.5
408 0.7044199 211.4133 184.5
409 0.660221 214.0067 176.5
410 0.6491713 216.6 174.5
411 0.621547 219.1933 169.5
412 0.5994475 221.7867 165.5
413 0.5718232 224.38 160.5
414 0.5552486 226.9733 157.5
415 0.5276243 229.5667 152.5
416 0.5055249 232.16 148.5
417 0.4834254 234.7533 144.5
418 0.4668508 237.3467 141.5
419 0.4502763 239.94 138.5
420 0.4337017 242.5333 135.5
421 0.4060774 245.1267 130.5
422 0.3950276 247.72 128.5
423 0.378453 250.3133 125.5
424 0.3674033 252.9067 123.5
425 0.3480663 255.5 120
426 0.3342541 258.0933 117.5
427 0.3232044 260.6866 115.5
428 0.3066298 263.28 112.5
429 0.2955801 265.8733 110.5
430 0.2845304 268.4667 108.5
431 0.2679558 271.06 105.5
432 0.2624309 273.6533 104.5
433 0.2513812 276.2467 102.5
434 0.2375691 278.84 100
435 0.2292818 281.4333 98.5
436 0.2182321 284.0267 96.5
437 0.2127072 286.62 95.5
438 0.1961326 289.2133 92.5
439 0.1961326 291.8067 92.5
440 0.179558 294.4 89.5
441 0.1740332 296.9933 88.5
442 0.1657459 299.5867 87
443 0.1574586 302.18 85.5
444 0.1519337 304.7733 84.5
445 0.1381215 307.3667 82
446 0.1325967 309.96 81
447 0.1243094 312.5533 79.5
448 0.1187845 315.1467 78.5
449 0.1132597 317.74 77.5
450 0.1077348 320.3333 76.5
451 0.1022099 322.9267 75.5
452 9.668508E-02 325.52 74.5
453 9.116022E-02 328.1133 73.5
454 9.116022E-02 330.7067 73.5
455 8.563536E-02 333.3 72.5
456 0.0801105 335.8933 71.5
457 7.458564E-02 338.4867 70.5
458 6.906077E-02 341.08 69.5
459 6.906077E-02 343.6733 69.5
460 6.353591E-02 346.2667 68.5
461 5.801105E-02 348.86 67.5
462 5.801105E-02 351.4533 67.5
463 5.524862E-02 354.0467 67
464 5.248619E-02 356.64 66.5
465 5.248619E-02 359.2333 66.5
466 4.696133E-02 361.8267 65.5
467 4.696133E-02 364.42 65.5
468 4.143646E-02 367.0133 64.5
469 4.143646E-02 369.6067 64.5
470 4.143646E-02 372.2 64.5
471 4.143646E-02 374.7933 64.5
472 0.0359116 377.3867 63.5
473 0.0359116 379.98 63.5
474 0.0359116 382.5733 63.5
475 0.0359116 385.1667 63.5
476 3.038674E-02 387.76 62.5
477 3.038674E-02 390.3533 62.5
478 3.038674E-02 392.9467 62.5
479 2.486188E-02 395.54 61.5
480 2.486188E-02 398.1333 61.5
481 2.486188E-02 400.7267 61.5
482 1.933702E-02 403.32 60.5
483 1.933702E-02 405.9133 60.5
484 1.933702E-02 408.5067 60.5
485 1.381215E-02 411.1 59.5
486 1.381215E-02 413.6933 59.5
487 1.381215E-02 416.2867 59.5
488 1.381215E-02 418.88 59.5
489 1.381215E-02 421.4733 59.5
490 2.762431E-03 424.0667 57.5
491 8.287293E-03 426.66 58.5
492 8.287293E-03 429.2533 58.5
493 2.762431E-03 431.8466 57.5
494 8.287293E-03 434.44 58.5
495 5.524862E-03 437.0333 58
496 2.762431E-03 439.6266 57.5
