#Data:X Data:Y Source:X Source:Y
380 3.739445E-02 72 68.5
381 4.221954E-02 75.78333 69.5
382 5.669481E-02 79.56667 72.5
383 7.599518E-02 83.35 76.5
384 9.047045E-02 87.13333 79.5
385 0.1145959 90.91666 84.5
386 0.145959 94.7 91
387 0.1917973 98.48333 100.5
388 0.2328106 102.2667 109
389 0.2858866 106.05 120
390 0.3341375 109.8333 130
391 0.4016888 113.6167 144
392 0.4716526 117.4 158.5
393 0.5295537 121.1833 170.5
394 0.5874547 124.9667 182.5
395 0.6550061 128.75 196.5
396 0.7249699 132.5333 211
397 0.7659831 136.3167 219.5
398 0.814234 140.1 229.5
399 0.8431845 143.8833 235.5
400 0.8769602 147.6667 242.5
401 0.9059107 151.45 248.5
402 0.9348613 155.2333 254.5
403 0.9541616 159.0167 258.5
404 0.9686369 162.8 261.5
405 0.9806997 166.5833 264
406 0.9927624 170.3667 266.5
407 0.9975874 174.15 267.5
408 0.9975874 177.9333 267.5
409 0.9975874 181.7167 267.5
410 0.9927624 185.5 266.5
411 0.9782871 189.2833 263.5
412 0.9565742 193.0667 259
413 0.9348613 196.85 254.5
414 0.9059107 200.6333 248.5
415 0.8431845 204.4167 235.5
416 0.7804584 208.2 222.5
417 0.7418576 211.9833 214.5
418 0.6911942 215.7667 204
419 0.6501809 219.55 195.5
420 0.6212304 223.3333 189.5
421 0.5922799 227.1167 183.5
422 0.5778046 230.9 180.5
423 0.5633293 234.6833 177.5
424 0.5440289 238.4667 173.5
425 0.5295537 242.25 170.5
426 0.5150784 246.0333 167.5
427 0.5054283 249.8167 165.5
428 0.4957781 253.6 163.5
429 0.4861279 257.3833 161.5
430 0.4764777 261.1667 159.5
431 0.4716526 264.95 158.5
432 0.4620024 268.7333 156.5
433 0.4523522 272.5167 154.5
434 0.4427021 276.3 152.5
435 0.4330519 280.0833 150.5
436 0.4282268 283.8667 149.5
437 0.416164 287.65 147
438 0.4089264 291.4333 145.5
439 0.3944511 295.2167 142.5
440 0.384801 299 140.5
441 0.3751508 302.7833 138.5
442 0.3606755 306.5667 135.5
443 0.3462002 310.35 132.5
444 0.3365501 314.1333 130.5
445 0.3268999 317.9167 128.5
446 0.3124246 321.7 125.5
447 0.3027744 325.4833 123.5
448 0.2882991 329.2667 120.5
449 0.278649 333.05 118.5
450 0.2689988 336.8333 116.5
451 0.2496984 340.6167 112.5
452 0.2376357 344.4 110
453 0.2207479 348.1833 106.5
454 0.2110977 351.9667 104.5
455 0.1917973 355.75 100.5
456 0.1821472 359.5333 98.5
457 0.172497 363.3167 96.5
458 0.1628468 367.1 94.5
459 0.1531966 370.8833 92.5
460 0.1435464 374.6667 90.5
461 0.1387213 378.45 89.5
462 0.1290712 382.2333 87.5
463 0.119421 386.0167 85.5
464 0.1145959 389.8 84.5
465 0.1049457 393.5833 82.5
466 0.1001206 397.3667 81.5
467 9.529553E-02 401.15 80.5
468 9.047045E-02 404.9333 79.5
469 8.082026E-02 408.7167 77.5
470 7.599518E-02 412.5 76.5
471 7.358263E-02 416.2833 76
472 7.117008E-02 420.0667 75.5
473 6.634499E-02 423.85 74.5
474 6.634499E-02 427.6333 74.5
475 0.0615199 431.4167 73.5
476 5.669481E-02 435.2 72.5
477 5.669481E-02 438.9833 72.5
478 5.186972E-02 442.7667 71.5
479 4.704463E-02 446.55 70.5
480 4.704463E-02 450.3333 70.5
481 4.221954E-02 454.1167 69.5
482 4.221954E-02 457.9 69.5
483 4.221954E-02 461.6833 69.5
484 3.739445E-02 465.4667 68.5
485 3.739445E-02 469.25 68.5
486 3.498191E-02 473.0333 68
487 3.256936E-02 476.8167 67.5
488 3.256936E-02 480.6 67.5
489 3.256936E-02 484.3833 67.5
490 2.774427E-02 488.1667 66.5
491 2.774427E-02 491.95 66.5
492 2.774427E-02 495.7333 66.5
493 2.291918E-02 499.5167 65.5
494 2.291918E-02 503.3 65.5
495 1.809409E-02 507.0833 64.5
496 1.809409E-02 510.8667 64.5
497 0.013269 514.65 63.5
498 0.013269 518.4333 63.5
499 0.013269 522.2167 63.5
500 8.443909E-03 526 62.5
