#Data:X Data:Y Source:X Source:Y
381 0 102.0792 78.75
382 0 105.9083 78.75
383 0 109.7375 78.75
384 0 113.5667 78.75
385 0 117.3958 78.75
386 0 121.225 78.75
387 0 125.0542 78.75
388 0 128.8833 78.75
389 0 132.7125 78.75
390 0 136.5417 78.75
391 0 140.3708 78.75
392 0 144.2 78.75
393 0 148.0292 78.75
394 0 151.8583 78.75
395 0 155.6875 78.75
396 0 159.5167 78.75
397 3.554502E-03 163.3458 79.5
398 3.554502E-03 167.175 79.5
399 3.554502E-03 171.0042 79.5
400 3.554502E-03 174.8333 79.5
401 3.554502E-03 178.6625 79.5
402 1.303317E-02 182.4917 81.5
403 2.251185E-02 186.3208 83.5
404 4.620853E-02 190.15 88.5
405 6.516588E-02 193.9792 92.5
406 0.0936019 197.8083 98.5
407 0.1315166 201.6375 106.5
408 0.1765403 205.4667 116
409 0.2120853 209.2958 123.5
410 0.25 213.125 131.5
411 0.292654 216.9542 140.5
412 0.3376777 220.7833 150
413 0.4016588 224.6125 163.5
414 0.4609005 228.4417 176
415 0.5296208 232.2708 190.5
416 0.5959716 236.1 204.5
417 0.6481043 239.9292 215.5
418 0.7263033 243.7583 232
419 0.7950237 247.5875 246.5
420 0.849526 251.4167 258
421 0.9206161 255.2458 273
422 0.9561611 259.075 280.5
423 0.9845971 262.9042 286.5
424 0.9940758 266.7333 288.5
425 0.9988152 270.5625 289.5
426 0.9988152 274.3917 289.5
427 0.9988152 278.2208 289.5
428 0.9845971 282.05 286.5
429 0.9798578 285.8792 285.5
430 0.9656398 289.7083 282.5
431 0.9466825 293.5375 278.5
432 0.9348341 297.3667 276
433 0.9135071 301.1958 271.5
434 0.8969194 305.025 268
435 0.8850711 308.8542 265.5
436 0.8613744 312.6833 260.5
437 0.8376777 316.5125 255.5
438 0.8092417 320.3417 249.5
439 0.7808057 324.1708 243.5
440 0.764218 328 240
441 0.735782 331.8292 234
442 0.7144549 335.6583 229.5
443 0.6907583 339.4875 224.5
444 0.6646919 343.3167 219
445 0.6433649 347.1458 214.5
446 0.6244076 350.975 210.5
447 0.6054502 354.8042 206.5
448 0.5912322 358.6333 203.5
449 0.5675355 362.4625 198.5
450 0.5533175 366.2917 195.5
451 0.5343602 370.1208 191.5
452 0.5272512 373.95 190
453 0.5059242 377.7792 185.5
454 0.5011848 381.6083 184.5
455 0.4869668 385.4375 181.5
456 0.4727488 389.2667 178.5
457 0.4632701 393.0958 176.5
458 0.4537915 396.925 174.5
459 0.4419431 400.7542 172
460 0.4300948 404.5833 169.5
461 0.4206161 408.4125 167.5
462 0.4158768 412.2417 166.5
463 0.4063981 416.0708 164.5
464 0.3969194 419.9 162.5
465 0.3827014 423.7292 159.5
466 0.3732227 427.5583 157.5
467 0.3590047 431.3875 154.5
468 0.3447867 435.2167 151.5
469 0.3258294 439.0458 147.5
470 0.3116114 442.875 144.5
471 0.292654 446.7042 140.5
472 0.2689573 450.5333 135.5
473 0.2594787 454.3625 133.5
474 0.2405213 458.1917 129.5
475 0.228673 462.0208 127
476 0.221564 465.85 125.5
477 0.2026066 469.6792 121.5
478 0.193128 473.5083 119.5
479 0.1836493 477.3375 117.5
480 0.1741706 481.1667 115.5
481 0.1646919 484.9958 113.5
482 0.1552133 488.825 111.5
483 0.1457346 492.6542 109.5
484 0.1362559 496.4833 107.5
485 0.1315166 500.3125 106.5
486 0.1172986 504.1417 103.5
487 0.1125592 507.9708 102.5
488 0.1078199 511.8 101.5
489 0.1030806 515.6292 100.5
490 0.0936019 519.4583 98.5
491 8.886256E-02 523.2875 97.5
492 8.412322E-02 527.1166 96.5
493 7.938389E-02 530.9459 95.5
494 7.701422E-02 534.775 95
495 6.990521E-02 538.6042 93.5
496 6.516588E-02 542.4333 92.5
497 6.042654E-02 546.2625 91.5
498 0.0556872 550.0917 90.5
499 0.0556872 553.9208 90.5
500 5.094787E-02 557.75 89.5
